name,year,selling_price_usd,miles_driven,fuel,seller_type,transmission,owner,engine,max_power,mileage_mpg,seats
Maruti Swift Dzire VDI,2014,11980.07,90409.5,Diesel,Individual,Manual,First Owner,1248.0,74.0,55.04,5.0
Skoda Rapid 1.5 TDI Ambition,2014,9850.28,74564.5,Diesel,Individual,Manual,Second Owner,1498.0,103.52,49.72,5.0
Honda City 2017-2020 EXi,2006,4206.33,86991.9,Petrol,Individual,Manual,Third Owner,1497.0,78.0,41.63,5.0
Hyundai i20 Sportz Diesel,2010,5990.03,78914.1,Diesel,Individual,Manual,First Owner,1396.0,90.0,54.1,5.0
Maruti Swift VXI BSIII,2007,3460.91,74564.5,Petrol,Individual,Manual,First Owner,1298.0,88.2,37.87,5.0
Hyundai Xcent 1.2 VTVT E Plus,2017,11713.84,27961.7,Petrol,Individual,Manual,First Owner,1197.0,81.86,47.37,5.0
Maruti 800 DX BSII,2001,1198.01,3106.9,Petrol,Individual,Manual,Second Owner,796.0,37.0,37.87,4.0
Toyota Etios VXD,2011,9317.83,55923.4,Diesel,Individual,Manual,First Owner,1364.0,67.1,55.49,5.0
Ford Figo Diesel Celebration Edition,2013,5324.47,105011.7,Diesel,Individual,Manual,First Owner,1399.0,68.1,47.04,5.0
Renault Duster 110PS Diesel RxL,2014,13311.18,42253.2,Diesel,Individual,Manual,Second Owner,1461.0,108.45,44.71,5.0
Maruti Zen LX,2005,2449.26,62137.1,Petrol,Individual,Manual,Second Owner,993.0,60.0,40.69,5.0
Maruti Swift Dzire VDi,2009,7454.26,86991.9,Diesel,Individual,Manual,Second Owner,1248.0,73.9,45.4,5.0
Maruti Wagon R LXI Minor,2009,4792.03,55923.4,Petrol,Individual,Manual,Second Owner,1061.0,67.0,44.46,5.0
Mahindra KUV 100 mFALCON G80 K8 5str,2016,10648.95,24854.8,Petrol,Individual,Manual,First Owner,1198.0,82.0,42.69,5.0
Maruti Ertiga SHVS VDI,2016,20712.2,43496.0,Diesel,Individual,Manual,Second Owner,1248.0,88.5,57.67,7.0
Hyundai i20 1.4 CRDi Asta,2012,13311.18,32932.7,Diesel,Individual,Manual,Second Owner,1396.0,90.0,54.1,5.0
Maruti Alto LX,2002,3993.36,49709.7,Petrol,Individual,Manual,Second Owner,796.0,46.3,46.34,5.0
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,18103.21,62137.1,Diesel,Individual,Manual,First Owner,1396.0,88.73,53.02,5.0
Mahindra Verito 1.5 D4 BSIII,2011,4632.29,62137.1,Diesel,Individual,Manual,Second Owner,1461.0,64.1,49.4,5.0
Honda WR-V i-DTEC VX,2017,25291.25,31068.6,Diesel,Individual,Manual,First Owner,1498.0,98.6,59.98,5.0
Maruti Swift Dzire ZDI,2015,13976.74,24854.8,Diesel,Individual,Manual,First Owner,1248.0,74.0,62.54,5.0
Maruti SX4 ZDI,2012,15973.42,44738.7,Diesel,Individual,Manual,First Owner,1248.0,88.8,50.57,5.0
Tata Tigor 2017-2020 XZ,2018,13311.18,21748.0,Petrol,Individual,Manual,First Owner,1199.0,83.81,47.75,5.0
Maruti Baleno Delta 1.2,2016,15307.86,27961.7,Petrol,Individual,Manual,First Owner,1197.0,83.1,50.34,5.0
Maruti Alto 800 LXI,2017,7321.15,17398.4,Petrol,Individual,Manual,First Owner,796.0,47.3,58.1,5.0
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,7986.71,43496.0,Diesel,Individual,Manual,First Owner,1248.0,73.8,42.81,7.0
Maruti Wagon R LXI Minor,2009,5856.92,74564.5,Petrol,Individual,Manual,First Owner,1061.0,67.0,44.46,5.0
Maruti Omni E MPI STD BS IV,2018,6788.68,15534.3,Petrol,Individual,Manual,First Owner,796.0,34.2,39.52,8.0
Maruti Vitara Brezza LDi Option,2017,17836.99,43496.0,Diesel,Individual,Manual,First Owner,1248.0,88.5,57.16,5.0
Maruti Omni 8 Seater BSIV,2012,3993.36,21748.0,Petrol,Individual,Manual,Second Owner,796.0,35.0,32.93,5.0
Hyundai i20 1.2 Asta Dual Tone,2018,19434.33,1483.8,Petrol,Individual,Manual,First Owner,1197.0,81.83,43.75,5.0
Maruti Vitara Brezza LDi,2017,17304.54,10066.2,Diesel,Individual,Manual,First Owner,1248.0,88.5,57.16,5.0
Maruti Alto K10 VXI Airbag,2019,9743.79,9320.6,Petrol,Individual,Manual,First Owner,998.0,67.1,56.33,5.0
Hyundai Verna VTVT 1.6 SX Option,2019,30589.1,3106.9,Petrol,Individual,Manual,First Owner,1591.0,121.3,39.99,5.0
Datsun GO D,2016,3993.36,26097.6,Petrol,Individual,Manual,First Owner,1198.0,67.0,48.52,5.0
Tata Safari DICOR 2.2 LX 4x2,2011,11314.51,37282.3,Diesel,Individual,Manual,Second Owner,2179.0,138.03,32.77,7.0
Maruti 800 Std,2012,3993.36,47224.2,Petrol,Individual,Manual,First Owner,796.0,37.0,37.87,4.0
Jeep Compass 1.4 Limited Plus BSIV,2019,55906.98,3106.9,Petrol,Individual,Automatic,First Owner,1368.0,160.77,37.63,5.0
Honda City i VTEC VX,2018,24625.69,17957.6,Petrol,Dealer,Manual,First Owner,1497.0,117.3,41.87,5.0
Honda City V MT,2013,11314.51,53624.3,Petrol,Dealer,Manual,First Owner,1497.0,116.3,39.52,5.0
Maruti Swift Dzire VXi AT,2018,17970.1,14477.9,Petrol,Dealer,Automatic,First Owner,1197.0,83.14,43.51,5.0
Maruti Vitara Brezza VDi,2018,21830.32,20256.7,Diesel,Dealer,Manual,First Owner,1248.0,88.5,57.16,5.0
Maruti Alto K10 VXI,2018,10382.72,6400.1,Petrol,Dealer,Manual,First Owner,998.0,67.05,56.33,5.0
Toyota Fortuner 4x4 MT,2014,39933.55,47845.6,Diesel,Dealer,Manual,First Owner,2982.0,168.5,29.52,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,18635.66,61515.7,Diesel,Dealer,Manual,First Owner,2494.0,100.0,30.55,7.0
Mercedes-Benz B Class B180,2014,38602.44,17274.1,Diesel,Dealer,Automatic,Second Owner,2143.0,120.7,34.81,5.0
Honda Amaze S Diesel,2015,11314.51,30944.3,Diesel,Dealer,Manual,First Owner,1498.0,98.63,58.1,5.0
Mitsubishi Pajero Sport 4X4,2013,29018.38,93827.0,Diesel,Dealer,Manual,First Owner,2477.0,175.56,31.75,7.0
Honda City i DTEC S,2015,15973.42,33989.0,Diesel,Dealer,Manual,First Owner,1498.0,98.6,61.16,5.0
Maruti Ciaz Zeta,2018,22629.01,39767.7,Petrol,Dealer,Manual,First Owner,1462.0,103.25,48.57,5.0
Honda Jazz VX Diesel,2015,13976.74,39146.4,Diesel,Dealer,Manual,First Owner,1498.0,98.6,64.21,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,43926.91,79349.1,Diesel,Dealer,Automatic,Second Owner,2755.0,171.5,26.72,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,25291.25,61515.7,Diesel,Dealer,Manual,First Owner,2494.0,100.6,30.55,7.0
Audi A6 2.0 TDI Technology,2013,46589.15,21064.5,Diesel,Dealer,Automatic,Second Owner,1968.0,174.33,41.59,5.0
Toyota Corolla Altis 1.8 VL CVT,2018,42329.57,15534.3,Petrol,Dealer,Automatic,First Owner,1798.0,138.03,33.59,5.0
Audi A6 2.0 TDI  Design Edition,2013,44991.78,31068.6,Diesel,Dealer,Automatic,First Owner,1968.0,187.74,43.59,5.0
Mercedes-Benz New C-Class 220 CDI AT,2013,37936.88,36660.9,Diesel,Dealer,Automatic,First Owner,2143.0,170.0,34.91,5.0
Tata Manza ELAN Quadrajet BS IV,2011,7054.93,74564.5,Diesel,Individual,Manual,First Owner,1248.0,88.8,49.68,5.0
Hyundai i10 Magna,2011,5058.25,68350.8,Petrol,Individual,Manual,Third Owner,1197.0,78.9,47.89,5.0
Hyundai i20 Asta 1.4 CRDi,2013,11314.51,37282.3,Diesel,Individual,Manual,First Owner,1396.0,88.76,50.03,5.0
Maruti Swift Dzire ZDI,2015,16772.09,91341.5,Diesel,Individual,Manual,Second Owner,1248.0,74.0,62.54,5.0
Ford Figo 1.2P Titanium MT,2017,15973.42,15534.3,Petrol,Individual,Manual,Third Owner,1196.0,86.8,42.72,5.0
Maruti Baleno Delta 1.2,2019,17304.54,18641.1,Petrol,Individual,Manual,First Owner,1197.0,83.1,50.34,5.0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,14376.08,24854.8,Diesel,Individual,Manual,First Owner,1498.0,108.495,51.75,5.0
Honda City i DTEC VX,2015,16772.09,83885.1,Diesel,Individual,Manual,First Owner,1498.0,98.6,59.04,5.0
Maruti Wagon R AMT VXI,2018,11926.82,18641.1,Petrol,Individual,Automatic,First Owner,998.0,67.0,48.24,5.0
Volkswagen Ameo 1.5 TDI Comfortline,2017,13311.18,49709.7,Diesel,Individual,Manual,First Owner,1498.0,108.62,50.95,5.0
Maruti Vitara Brezza VDi,2016,19833.67,43496.0,Diesel,Individual,Manual,First Owner,1248.0,88.5,57.16,5.0
Maruti Vitara Brezza ZDi Plus AMT,2019,27287.93,6120.5,Diesel,Individual,Automatic,First Owner,1248.0,88.5,57.16,5.0
Hyundai i10 Magna,2011,6256.26,37282.3,Petrol,Individual,Manual,Second Owner,1197.0,78.9,47.89,5.0
Maruti Swift VDI Deca,2016,16772.09,43496.0,Diesel,Individual,Manual,First Owner,1248.0,74.0,59.27,5.0
Toyota Fortuner 4x4 MT,2015,45258.03,48466.9,Diesel,Individual,Manual,Second Owner,2982.0,168.5,29.52,7.0
Maruti Swift Star VDI,2013,11980.07,74564.5,Diesel,Individual,Manual,Second Owner,1248.0,74.0,53.86,5.0
Maruti Ertiga ZXI,2012,11980.07,74564.5,Petrol,Individual,Manual,Second Owner,1373.0,93.7,37.68,7.0
Volkswagen Vento Diesel Highline,2013,11980.07,105633.1,Diesel,Individual,Manual,First Owner,1598.0,103.6,48.31,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,31946.84,86991.9,Diesel,Individual,Manual,First Owner,2494.0,100.6,30.55,8.0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,16239.65,55923.4,Diesel,Individual,Manual,First Owner,1498.0,98.59,53.56,5.0
BMW X1 sDrive20i xLine,2016,66555.92,18641.1,Petrol,Individual,Automatic,Second Owner,1998.0,189.0,36.95,5.0
Maruti Celerio ZXI MT BSIV,2017,12911.82,6213.7,Petrol,Dealer,Manual,First Owner,998.0,67.04,54.33,5.0
Datsun GO A Petrol,2016,7321.15,30447.2,Petrol,Dealer,Manual,First Owner,1198.0,67.05,44.74,5.0
Maruti Alto 800 VXI BSIV,2016,8386.05,19883.9,Petrol,Dealer,Manual,First Owner,796.0,47.3,58.1,5.0
Maruti Alto 800 LXI BSIV,2016,7321.15,23612.1,Petrol,Dealer,Manual,First Owner,796.0,47.3,58.1,5.0
Hyundai i10 Era 1.1,2012,7720.49,17398.4,Petrol,Dealer,Manual,First Owner,1086.0,68.05,46.6,5.0
Maruti Omni 8 Seater BSIV,2017,7454.26,19883.9,Petrol,Dealer,Manual,First Owner,796.0,35.0,32.93,5.0
Volkswagen Polo 1.2 MPI Comfortline,2015,12113.18,26097.6,Petrol,Dealer,Manual,First Owner,1198.0,74.0,38.74,5.0
Hyundai i10 Magna 1.1L,2015,9344.45,27961.7,Petrol,Dealer,Manual,Second Owner,1086.0,68.05,46.6,5.0
Volkswagen Vento Petrol Highline,2012,14242.97,7456.5,Petrol,Dealer,Manual,Second Owner,1598.0,103.6,35.38,5.0
Maruti Zen Estilo LXI BSIII,2009,4658.91,34486.1,Petrol,Dealer,Manual,First Owner,998.0,67.1,42.81,5.0
Hyundai i20 Asta Optional with Sunroof 1.2,2013,13976.74,38214.3,Petrol,Dealer,Manual,First Owner,1197.0,82.85,43.51,5.0
Maruti Swift Dzire LDI,2016,15973.42,93205.6,Diesel,Individual,Manual,First Owner,1248.0,74.0,62.54,5.0
